city,country,date,cloudiness,humidity,latitude,longitude,temperature,wind speed
Black River,JM,1586388735,20,78,18.03,-77.85,82.24,9.17
Östersund,SE,1586388735,34,69,63.18,14.64,33.8,18.34
Springdale,US,1586388684,1,25,36.19,-94.13,85.48,14.99
Coquimbo,CL,1586388735,90,72,-29.95,-71.34,62.6,3.36
Sakakah,SA,1586388735,59,24,29.97,40.21,66.2,6.93
Calmar,CA,1586388736,75,51,53.27,-113.82,35.98,9.17
Sinnamary,GF,1586388736,90,81,5.38,-52.95,79.59,13.8
Mandalgovi,MN,1586388736,11,42,45.76,106.27,32.29,10.63
Lamu,KE,1586388736,36,77,-2.27,40.9,82.09,9.19
Palmeira,BR,1586388737,0,69,-25.43,-50.01,55.76,7.52
Perbaungan,ID,1586388737,40,100,3.57,98.96,77.0,3.36
Myitkyina,MM,1586388737,74,38,25.38,97.4,72.18,3.98
Juba,SS,1586388737,77,42,4.85,31.58,82.53,3.44
Grindavik,IS,1586388737,90,82,63.84,-22.43,31.14,6.93
Bengkulu,ID,1586388737,87,77,-3.8,102.27,78.17,4.83
Luanshya,ZM,1586388738,2,64,-13.14,28.42,62.44,5.73
Belize,BZ,1586388738,75,37,17.25,-88.75,87.96,9.17
Port Blair,IN,1586388738,44,77,11.67,92.75,81.03,5.01
Christchurch,NZ,1586388512,86,54,-43.53,172.63,58.8,4.7
Khani,GE,1586388738,0,48,41.96,42.96,44.6,17.22
Port Jervis,US,1586388739,1,42,41.38,-74.69,57.43,5.82
Chapais,CA,1586388633,75,92,49.78,-74.85,32.0,6.93
Atamanovka,RU,1586388739,65,45,51.93,113.63,24.8,2.24
Maku,IR,1586388739,11,45,39.29,44.45,36.09,0.89
Caxito,AO,1586388739,20,83,-8.58,13.66,78.8,9.17
Hamilton,US,1586388653,1,44,39.18,-84.53,76.93,4.7
Sambava,MG,1586388709,2,82,-14.27,50.17,74.86,9.22
Berlevåg,NO,1586388739,100,97,70.86,29.09,30.42,30.65
Birjand,IR,1586388740,75,93,32.87,59.22,50.0,9.17
Hegang,CN,1586388740,60,64,47.4,130.37,39.47,5.3
Tual,ID,1586388740,98,73,-5.67,132.75,83.14,5.37
Estevan,CA,1586388740,75,40,49.13,-102.98,38.1,33.33
Talnakh,RU,1586388740,20,79,69.49,88.4,26.6,20.13
Vysokogornyy,RU,1586388696,0,60,50.12,139.15,33.73,1.88
Balaka,MW,1586388553,88,70,-14.98,34.96,67.48,2.57
Tymovskoye,RU,1586388740,0,72,50.85,142.66,36.01,2.59
Bose,IT,1586388741,0,46,45.46,8.01,52.68,2.24
Seoul,KR,1586388606,1,49,37.57,126.98,43.07,8.77
Linhares,BR,1586388741,100,85,-19.39,-40.07,72.97,7.81
Ol'ga,RU,1586388741,98,90,43.74,135.29,33.73,17.16
Jhajha,IN,1586388741,7,24,24.77,86.37,77.7,3.78
Pinega,RU,1586388741,96,91,64.7,43.39,34.38,10.13
Vilhena,BR,1586388598,40,94,-12.74,-60.15,75.2,2.24
Umluj,SA,1586388636,0,47,25.02,37.27,73.13,11.48
Rome,US,1586388742,90,66,43.21,-75.46,48.61,8.05
Vila do Maio,CV,1586388742,0,60,15.13,-23.22,75.2,19.46
Épernay,FR,1586388742,0,93,49.05,3.95,51.66,1.48
Flagstaff,US,1586388589,75,35,35.2,-111.65,55.96,14.99
Jieshi,CN,1586388743,19,62,22.81,115.83,67.71,9.28
Florø,NO,1586388743,94,65,61.6,5.03,39.54,18.34
Requena,ES,1586388743,94,87,39.49,-1.1,51.06,3.36
Belmonte,BR,1586388743,75,83,-15.86,-38.88,80.6,4.7
Verkh-Usugli,RU,1586388744,99,43,52.7,115.17,37.02,1.36
Keflavik,IS,1586388744,90,83,64.0,-22.56,31.33,6.93
Pangai,TO,1586388744,90,83,-19.8,-174.35,82.4,20.8
Saint-Ambroise,CA,1586388744,40,43,48.55,-71.33,33.8,5.82
Batagay-Alyta,RU,1586388744,100,88,67.8,130.41,24.39,3.44
Victor Harbor,AU,1586388744,20,72,-35.57,138.62,58.19,3.36
Comodoro Rivadavia,AR,1586388745,0,67,-45.87,-67.5,62.6,4.7
Sol'-Iletsk,RU,1586388745,98,76,51.16,54.99,38.62,9.82
Autazes,BR,1586388745,100,89,-3.58,-59.13,77.74,0.51
Waipawa,NZ,1586388745,86,67,-41.41,175.52,55.99,24.16
Sambek,RU,1586388745,7,48,47.74,39.83,41.0,6.71
Águas Vermelhas,BR,1586388746,93,75,-15.75,-41.46,70.18,2.84
Nacala,MZ,1586388746,44,85,-14.54,40.67,76.78,3.65
Ukiah,US,1586388746,1,22,39.15,-123.21,67.06,4.7
Bucerías,MX,1586388746,75,74,20.75,-105.33,80.31,11.41
Kavaratti,IN,1586388746,2,66,10.57,72.64,83.43,7.94
Nabire,ID,1586388746,100,76,-3.37,135.48,83.05,2.82
Auki,SB,1586388726,8,69,-8.77,160.7,84.43,2.01
Saint Lawrence,MT,1586388747,6,71,36.06,14.2,55.04,3.36
Malapag,PH,1586388747,36,60,7.13,124.82,85.42,1.19
Sur,OM,1586388747,0,41,22.57,59.53,80.73,5.95
Sulangan,PH,1586388747,21,76,11.14,123.72,81.66,9.04
Dingtao,CN,1586388747,100,69,35.07,115.56,54.77,5.91
Kenai,US,1586388747,1,88,60.55,-151.26,34.72,13.87
Bambanglipuro,ID,1586388747,89,78,-7.95,110.28,79.48,5.3
Verkhnevilyuysk,RU,1586388748,97,93,63.45,120.32,34.29,3.76
Freeport,US,1586388748,1,55,40.66,-73.58,56.79,10.29
Natá,PA,1586388748,83,43,8.33,-80.52,80.01,1.01
Jaciara,BR,1586388501,82,79,-15.97,-54.97,73.9,3.85
Mlimba,TZ,1586388748,100,78,-8.8,35.82,73.35,0.51
Corn Island,NI,1586388748,34,76,12.17,-83.04,82.04,14.79
Worland,US,1586388748,1,30,44.02,-107.96,54.79,9.17
Abaza,RU,1586388749,100,68,52.66,90.09,40.91,2.26
Yucca Valley,US,1586388749,90,76,34.11,-116.43,46.31,6.93
Benguela,AO,1586388749,0,78,-12.58,13.41,76.93,1.01
Sargatskoye,RU,1586388749,83,86,55.61,73.5,28.36,16.71
Basavana Bāgevādi,IN,1586388749,0,34,16.58,75.97,73.62,10.29
Shingū,JP,1586388749,3,45,33.73,135.98,57.2,4.7
St. George's,GD,1586388696,20,78,12.06,-61.75,80.6,13.87
Mossamedes,AO,1586388750,0,51,-15.2,12.15,75.47,7.87
Isangel,VU,1586388750,16,73,-19.55,169.27,78.48,16.42
Klang,MY,1586388750,20,94,3.03,101.45,79.43,3.0
Qasigiannguit,GL,1586388673,0,61,68.82,-51.19,12.2,1.12
Sisimiut,GL,1586388750,0,87,66.94,-53.67,20.7,7.43
Semīrom,IR,1586388751,74,37,31.42,51.57,45.72,5.68
Suda,RU,1586388751,72,83,59.15,37.56,34.45,6.98
Cervo,ES,1586388751,100,1,43.67,-7.41,54.63,3.0
Hualmay,PE,1586388751,2,77,-11.1,-77.61,73.22,7.74
Akdepe,TM,1586388751,0,68,42.06,59.38,32.83,4.7
Port-Gentil,GA,1586388664,84,86,-0.72,8.78,80.65,6.4
Qūchān,IR,1586388751,70,70,37.11,58.51,22.48,6.42
Port-Cartier,CA,1586388752,20,47,50.03,-66.87,34.29,9.17
Nouakchott,MR,1586388752,0,54,18.09,-15.98,78.8,12.75
Raudeberg,NO,1586388675,97,65,61.99,5.14,37.0,18.34
San Quintín,MX,1586388632,12,58,30.48,-115.95,59.68,10.42
Jiuquan,CN,1586388752,0,23,39.74,98.52,47.89,1.21
Labuhan,ID,1586388752,90,82,-6.88,112.21,79.59,4.52
Vacaville,US,1586388540,1,67,38.36,-121.99,62.4,8.05
Kérouané,GN,1586388752,94,61,9.27,-9.02,75.85,4.81
Abasolo,MX,1586388753,75,12,20.45,-101.52,87.8,8.05
Ostrovnoy,RU,1586388753,100,93,68.05,39.51,35.15,17.4
Golden,US,1586388502,40,14,39.76,-105.22,68.04,6.93
Belyy Yar,RU,1586388753,100,60,53.6,91.39,42.8,20.13
Bubaque,GW,1586388665,0,74,11.28,-15.83,79.2,16.35
Wuzhou,CN,1586388754,65,80,23.48,111.32,67.46,1.54
Chumikan,RU,1586388754,25,78,54.72,135.31,37.18,9.15
Sioux Lookout,CA,1586388754,75,59,50.1,-91.92,37.4,13.87
Moose Factory,CA,1586388754,40,68,51.26,-80.61,30.2,13.87
Ugoofaaru,MV,1586388754,35,74,5.67,73.0,84.79,8.99
Kouqian,CN,1586388754,79,73,43.64,126.46,36.3,4.88
Beira,MZ,1586388754,99,85,-19.84,34.84,76.87,11.77
Sète,FR,1586388754,13,76,43.4,3.7,48.97,3.36
Okhotsk,RU,1586388755,33,92,59.38,143.3,31.75,17.76
Eyl,SO,1586388755,0,62,7.98,49.82,81.14,5.88
Todos Santos,MX,1586388755,90,36,23.45,-110.22,74.44,4.7
Nowa Ruda,PL,1586388755,0,69,50.58,16.5,46.27,2.24
Los Llanos de Aridane,ES,1586388755,90,82,28.66,-17.92,68.0,5.82
Grootfontein,NA,1586388755,88,47,-19.57,18.12,67.41,3.13
Aripuanã,BR,1586388756,100,92,-9.17,-60.63,76.01,0.45
Mamoudzou,YT,1586388756,56,83,-12.78,45.23,82.4,5.82
Pontianak,ID,1586388623,20,94,-0.03,109.33,75.2,3.33
Umm Kaddadah,SD,1586388756,18,13,13.6,26.69,81.61,17.54
Biltine,TD,1586388756,11,12,14.53,20.92,83.88,13.62
Srednekolymsk,RU,1586388756,85,91,67.45,153.68,5.27,7.16
Huaihua,CN,1586388756,35,74,27.55,109.96,60.19,2.51
Nālūt,LY,1586388756,12,41,30.33,10.85,57.78,11.48
Penzance,GB,1586388757,50,81,50.12,-5.54,49.3,12.75
Ramnagar,IN,1586388757,0,26,29.4,79.12,66.13,5.37
Río Gallegos,AR,1586388757,0,42,-51.62,-69.22,68.0,5.82
Āmli,IN,1586388757,0,75,20.28,73.02,71.17,3.4
Fortuna,US,1586388757,1,77,40.6,-124.16,63.18,11.41
Piranhas,BR,1586388757,75,77,-16.43,-51.82,74.82,4.68
Chaman,PK,1586388758,95,23,30.92,66.45,62.87,7.31
Hokitika,NZ,1586388758,76,58,-42.72,170.97,57.69,1.74
Taltal,CL,1586388758,6,77,-25.4,-70.48,63.9,2.15
Vaasa,FI,1586388758,20,93,63.1,21.62,35.35,11.41
Koumac,NC,1586388758,15,67,-20.57,164.28,81.21,8.39
Tupik,RU,1586388759,5,78,54.43,119.93,28.6,0.81
Shimoda,JP,1586388759,20,59,34.67,138.95,57.81,10.29
Korla,CN,1586388759,0,73,41.76,86.15,59.0,11.01
Nanortalik,GL,1586388759,99,90,60.14,-45.24,31.98,13.65
Bytosh',RU,1586388759,6,86,53.82,34.09,38.25,4.16
Gorontalo,ID,1586388759,41,74,0.54,123.06,82.13,2.21
Manavālakurichi,IN,1586388759,20,78,8.13,77.3,78.8,3.36
Ponta do Sol,PT,1586388654,75,82,32.67,-17.1,64.76,1.12
Linxia Chengguanzhen,CN,1586388532,9,20,35.6,103.21,47.7,2.84
Nantucket,US,1586388686,90,81,41.28,-70.1,44.64,9.17
Nishihara,JP,1586388760,75,64,26.18,127.76,68.14,8.05
Abu Dhabi,AE,1586388760,0,39,24.47,54.37,81.12,3.36
Voh,NC,1586388760,15,74,-20.97,164.7,78.87,10.94
Lazurne,UA,1586388760,0,99,46.08,32.53,43.0,11.21
Ola,RU,1586388761,88,88,59.58,151.28,26.53,5.23
Meulaboh,ID,1586388761,100,81,4.14,96.13,78.94,4.16
Solnechnyy,RU,1586388761,0,67,50.72,136.63,36.14,3.6
Nicoya,CR,1586388601,43,49,10.15,-85.45,86.43,21.92
Kahului,US,1586388761,20,54,20.89,-156.47,79.21,11.41
Maniwaki,CA,1586388524,99,89,46.38,-75.97,39.61,3.47
Norden,DE,1586388761,1,87,53.6,7.2,45.93,1.12
Bratsk,RU,1586388762,22,38,56.13,101.61,41.0,6.71
Altamirano,MX,1586388762,4,32,16.88,-92.15,71.74,3.4
Whitefish,US,1586388762,1,28,48.41,-114.34,56.68,10.29
Valley City,US,1586388762,75,55,46.92,-98.0,39.72,28.86
Rundu,NA,1586388762,11,49,-17.93,19.77,66.33,2.42
Develi,TR,1586388762,75,87,38.39,35.49,44.6,3.36
Dzhebariki-Khaya,RU,1586388762,100,95,62.22,135.8,31.39,2.75
Isla Mujeres,MX,1586388504,5,70,21.23,-86.73,84.09,13.87
Kupang,ID,1586388612,20,94,-10.17,123.58,77.0,3.36
Maralal,KE,1586388763,40,51,1.1,36.7,60.55,6.85
Wapi Pathum,TH,1586388763,33,83,15.85,103.38,73.4,8.05
Kyshtovka,RU,1586388763,24,89,56.55,76.63,27.99,16.49
Tezu,IN,1586388763,21,34,27.92,96.17,70.74,2.64
